OBJECT ID,AtcoCode,Common Name,Latitude,Longitude,Easting,Northing
1,700000000000,Mount Eagles,54.55280285,-6.04514613,326532,368923
2,700000000001,Custom House Square,54.60111821,-5.92295637,334277,374527
3,700000000002,Lagmore Reservoir,54.55497687,-6.04302044,326662,369169
4,700000000003,Station Street,54.60066509,-5.91859681,334561,374485
5,700000000004,Teeling Avenue,54.55476448,-6.04177322,326744,369147
6,700000000005,Short Strand (Newtownards Road),54.60017951,-5.9081132,335240,374451
7,700000000006,Glendowan Park,54.55390215,-6.03981228,326873,369055
8,700000000007,Tower Street,54.59979049,-5.90507667,335437,374413
9,700000000008,Glenfearna,54.55415589,-6.03275127,327329,369096
10,700000000009,Templemore Ave [N'ards Road],54.59935773,-5.90164099,335661,374372
11,700000000010,Lagmore Meadows,54.55132957,-6.03166808,327408,368783
12,700000000011,Dee Street,54.59889823,-5.89806729,335893,374328
13,700000000012,Lagmore Drive,54.54965908,-6.03193217,327396,368597
14,700000000013,Ribble Street,54.59832135,-5.89352515,336188,374272
15,700000000014,Lagmore Dale,54.54840877,-6.02908669,327584,368463
16,700000000015,Connswater,54.59778748,-5.89364252,336183,374212
17,700000000016,Lagmore Dale,54.54828966,-6.029528,327556,368449
18,700000000018,Lagmore Drive,54.5487488,-6.03175963,327410,368496
19,700000000019,Holywood Arches (Holywood Road),54.59811465,-5.88750489,336578,374261
20,700000000020,Lagmore Meadows,54.55094845,-6.03221013,327374,368740
21,700000000021,Dundela Park,54.60005049,-5.88464994,336756,374482
22,700000000022,Glenfearna,54.55382339,-6.03219533,327366,369060
23,700000000023,Parkgate Avenue,54.60189721,-5.88286722,336865,374691
24,700000000024,Glendowan Park,54.55377369,-6.03968422,326882,369041
25,700000000026,Teeling Avenue,54.55449341,-6.04168227,326750,369117
26,700000000027,Larkfield,54.60485059,-5.88014462,337031,375025
27,700000000028,Lagmore Grove,54.55161252,-6.02995233,327518,368818
28,700000000029,Palmerston Road,54.60571262,-5.87601362,337295,375129
29,700000000030,Summerhill Estate,54.54701473,-6.02349727,327950,368318
30,700000000031,Palmerston Park,54.60712532,-5.87459341,337382,375289
31,700000000032,Gardenmore Road,54.55008091,-6.02335253,327950,368659
32,700000000033,Station Road,54.60809262,-5.87544077,337324,375395
33,700000000034,Brook Centre,54.55259418,-6.02183623,328040,368942
34,700000000035,Sydenham Station,54.60933981,-5.87687729,337227,375531
35,700000000037,Inverary Drive,54.61039672,-5.87463961,337368,375653
36,700000000038,Juniper Park,54.55474777,-6.02621294,327750,369173
37,700000000039,Inverary Playing Fields,54.6097303,-5.87250721,337508,375583
38,700000000040,Donegall Avenue,54.58790067,-5.95032039,332552,373004
39,700000000041,Inverary Avenue,54.60883044,-5.87038707,337648,375487
40,700000000042,Donegall Avenue,54.5859743,-5.95170117,332469,372787
41,700000000043,Carolhill,54.60839151,-5.86867815,337760,375441
42,700000000044,Donegall Parade,54.58483958,-5.95420235,332311,372656
43,700000000045,Ashfield Boys,54.61006141,-5.86660695,337888,375631
44,700000000046,"Aughnacloy, Hillcrest",54.42071521,-6.98255291,266095,352938
45,700000000047,Ashfield Girls,54.61105497,-5.86542562,337961,375744
46,700000000048,Balmoral Hotel,54.56043226,-5.99854432,329522,369857
47,700000000049,Blanchflower Park,54.61300488,-5.86298803,338112,375966
48,700000000050,Garnock Hill,54.56286879,-6.00121261,329342,370123
49,700000000051,Tillysburn Park,54.61471573,-5.86187416,338178,376159
50,700000000052,Brooke Drive,54.5641072,-6.00413289,329149,370255
51,700000000053,Knocknagoney Road,54.61887999,-5.85738052,338454,376631
52,700000000054,Blacks Court,54.56435128,-6.00571217,329046,370280
53,700000000055,Knocknagoney Primary,54.61856442,-5.85482602,338620,376601
54,700000000056,Erris Grove,54.56575691,-6.00977201,328779,370429
55,700000000057,School Court,54.61819333,-5.85325769,338723,376563
56,700000000058,Ringford Park,54.56611492,-6.0102339,328748,370468
57,700000000059,School Court,54.61809014,-5.85236138,338781,376553
58,700000000060,Trenchard,54.56511278,-6.00830356,328876,370360
59,700000000061,Knocknagoney Primary,54.61873929,-5.8570495,338476,376616
60,700000000062,Brooke Park,54.5629366,-6.00111189,329348,370131
61,700000000063,Parklands,54.61897128,-5.85953104,338315,376637
62,700000000064,Balmoral Hotel,54.56082111,-5.99869533,329511,369900
63,700000000065,Tillysburn Junction,54.61840697,-5.86034527,338264,376572
64,700000000066,Oakhurst,54.55935013,-5.99722139,329611,369739
65,700000000067,Tillysburn Park,54.61388595,-5.86183997,338183,376066
66,700000000068,Sunnyhill Park,54.55328802,-6.00717964,328986,369046
67,700000000069,Templeton House,54.61298097,-5.86278248,338125,375964
68,700000000070,Sunnyhill Park,54.55334934,-6.0070839,328992,369053
69,700000000071,Ashfield Girls,54.61089517,-5.86533727,337967,375727
70,700000000072,Cloona,54.56252277,-6.0174592,328292,370055
71,700000000073,Ashfield Boys,54.6093768,-5.867192,337853,375554
72,700000000074,Corrina Park,54.5601585,-6.01519306,328446,369796
73,700000000075,Carolhill,54.60845774,-5.86837518,337779,375449
74,700000000076,Corrina Park,54.56052004,-6.01587121,328401,369835
75,700000000077,Inverary Avenue,54.60863539,-5.87002576,337672,375466
76,700000000078,Cloona,54.56216754,-6.01728594,328304,370016
77,700000000079,Inverleith Drive,54.60935735,-5.87173722,337559,375543
78,700000000080,Old Golf Course Park,54.55706562,-6.01074872,328743,369460
79,700000000081,Inverary Playing Fields,54.61008092,-5.87354153,337440,375620
80,700000000082,Cherry Road,54.55382119,-6.01423982,328528,369092
81,700000000083,Sydenham Station,54.60914638,-5.87711955,337212,375509
82,700000000084,Cherry Park,54.55358966,-6.01687279,328358,369062
83,700000000085,Station Road,54.60816498,-5.87546796,337322,375403
84,700000000086,Aspen Walk,54.5549493,-6.01915612,328206,369209
85,700000000087,Palmerston Park,54.60722842,-5.8743249,337399,375301
86,700000000088,St Lukes,54.55496509,-6.02176782,328037,369206
87,700000000089,Larkfield Road,54.60515872,-5.87721878,337219,375065
88,700000000090,St Lukes,54.55504608,-6.02187386,328030,369215
89,700000000091,Larkfield,54.60522875,-5.87967611,337060,375068
90,700000000092,Aspen Walk,54.55495088,-6.01892723,328221,369209
91,700000000093,Strandburn Drive,54.60379642,-5.88100423,336979,374906
92,700000000094,Cherry Park,54.55373651,-6.01697353,328351,369078
93,700000000095,Parkgate Avenue,54.60271774,-5.88200436,336918,374784
94,700000000096,Cherry Road,54.5544182,-6.01361694,328566,369160
95,700000000097,Glendale Court,54.60011907,-5.88446067,336768,374490
96,700000000098,Old Golf Course Park,54.55663753,-6.01033994,328771,369413
97,700000000099,Connsbrook Avenue,54.59902254,-5.88498413,336738,374367
98,700000000100,Credenhill,54.55799231,-6.01240738,328633,369560
99,700000000101,Holywood Arches (Holywood Road),54.59825841,-5.886666,336632,374278
100,700000000102,Old Colin,54.56312273,-6.02111757,328054,370115
101,700000000103,Connswater,54.59744554,-5.89402193,336159,374174
102,700000000104,Laurelbank,54.56324044,-6.02673217,327690,370118
103,700000000105,Hunt Street,54.59823277,-5.8937662,336173,374262
104,700000000106,Pembroke Loop,54.56565699,-6.02670819,327684,370387
105,700000000107,Dee Street,54.59872083,-5.89754792,335927,374309
106,700000000108,Pembroke Manor,54.5675914,-6.02356849,327881,370608
107,700000000109,Templemore Ave [N'ards Road],54.59921936,-5.90142205,335675,374357
108,700000000110,Colinbrook Avenue,54.57037111,-6.02652678,327681,370912
109,700000000111,Tower Street,54.59948921,-5.90351284,335539,374383
110,700000000112,Springbank Close,54.568994,-6.02803145,327588,370756
111,700000000113,Bryson Street,54.59986392,-5.90625542,335361,374419
112,700000000114,Springbank Drive,54.56795853,-6.02955046,327493,370638
